course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",Not Specified,Professional Certificate,,270,3 Weeks,Advanced,337,https://www.coursera.org/learn/transmedia-storytelling,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Typography,Not Specified,Professional Certificate,,822,4 Weeks,Advanced,192,https://www.coursera.org/learn/typography,Not Specified,Not Specified,Not Specified,Not Specified
"Ukraine: History, Culture and Identities",Not Specified,Professional Certificate,,342,5 Hours,Advanced,11,https://www.coursera.org/learn/ukraine-history-culture-and-identities,Not Specified,Not Specified,Not Specified,Not Specified
Ukraine: History of Civil Society,Not Specified,Professional Certificate,,10,4 Weeks,Advanced,11,https://www.coursera.org/learn/ukraine-history-of-civil-society,Social Sciences; Media and Communications; Cultural Diversity; Advocacy; Public Policies; Community Organizing; Governance; World History; Social Justice; Political Sciences,Not Specified,Not Specified,Not Specified
Think Again I: How to Understand Arguments,Not Specified,Professional Certificate,,580,3 Weeks,Advanced,373,https://www.coursera.org/learn/understanding-arguments,Writing; Oral Expression; Persuasive Communication; Research,Not Specified,Not Specified,Not Specified
"Applied Public History: Places, People, Stories",Not Specified,Professional Certificate,,113,- Days,Advanced,7,https://www.coursera.org/learn/uol-public-history,Not Specified,Not Specified,Not Specified,Not Specified
Using AI to Expand Creativity,Not Specified,Professional Certificate,,11,5 Hours,Advanced,9,https://www.coursera.org/learn/using-ai-to-expand-creativity,AI Enablement; Experimentation; Creativity; Collaboration; Art History; Artificial Intelligence; Music History; Responsible AI; Innovation,Generative AI,Not Specified,Not Specified
UX Design Fundamentals,Not Specified,Professional Certificate,,225,2 Weeks,Advanced,1,https://www.coursera.org/learn/ux-design-fundamentals,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to UX Design MasterTrack Certificate Program,Not Specified,Professional Certificate,,12,5 Hours,Advanced,0,https://www.coursera.org/learn/ux-design-open-content-shell,Not Specified,Not Specified,Not Specified,Not Specified
El Valle de los Reyes,Not Specified,Professional Certificate,,56,2 Weeks,Advanced,17,https://www.coursera.org/learn/valle-de-los-reyes,Environmental Resource Management; Ancient History; Art History; Culture; Architecture and Construction; Research Methodologies; World History,Not Specified,Not Specified,Not Specified
Video Editing Efficiency: Enhance Your Editing Workflow,Not Specified,Professional Certificate,,0,4 Hours,Advanced,97,https://www.coursera.org/learn/video-editing-efficiency-enhance-your-editing-workflow,File Management; Video Editing; Post-Production; Content Creation; Data Management; Instagram; Data Storage,Cloud Storage,Not Specified,Not Specified
Story and Narrative Development for Video Games,Not Specified,Professional Certificate,,278,1 Weeks,Advanced,52,https://www.coursera.org/learn/video-game-story,Video Game Development; Storyboarding; Storytelling; Creativity; Ideation; Writing; Software Design Documents; Game Design,Not Specified,Not Specified,Not Specified
World Design for Video Games,Not Specified,Professional Certificate,,823,8 Hours,Advanced,40,https://www.coursera.org/learn/video-game-world,Design Research; Storytelling; Aesthetics; Animation and Game Design; Creativity; Visualization (Computer Graphics); Conceptual Design; Game Design; Design Strategies; Virtual Environment,Not Specified,Not Specified,Not Specified
A complexidade sensível: Um paralelo entre videogames e arte,Not Specified,Professional Certificate,,16,8 Hours,Advanced,9,https://www.coursera.org/learn/videogames,Creativity; Culture; Aesthetics; Art History; Design; Social Impact; Game Design; Liberal Arts; Design Reviews; Video Game Development,Not Specified,Not Specified,Not Specified
Violences et religions,Not Specified,Professional Certificate,,134,2 Weeks,Advanced,15,https://www.coursera.org/learn/violences-religions,European History; Political Sciences; Research; Psychology; Cultural Diversity; Sociology; Social Studies; Ancient History; Anthropology; World History,Not Specified,Not Specified,Not Specified
Visual Elements of User Interface Design,Not Specified,Professional Certificate,,391,2 Weeks,Advanced,1,https://www.coursera.org/learn/visual-elements-user-interface-design,Not Specified,Not Specified,Not Specified,Not Specified
Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,Not Specified,Professional Certificate,,770,3 Weeks,Advanced,29,https://www.coursera.org/learn/visual-literary-culture-in-japan,Art History; Research,Not Specified,Not Specified,Not Specified
Visualizing Women's Work: Using Art Media for Social Justice,Not Specified,Professional Certificate,,100,- Weeks,Advanced,3,https://www.coursera.org/learn/visualizing-womens-work-using-art-media-for-social-justice,Performing Arts; Research; Multimedia; Advocacy; Cultural Diversity; Social Justice; Social Impact; Art History; Public History; Creativity,Not Specified,Not Specified,Not Specified
The Art of Vocal Production,Not Specified,Professional Certificate,,376,12 Weeks,Advanced,43,https://www.coursera.org/learn/vocal-production,Editing; Music Performance; Musical Composition; Post-Production; Music Theory; Music; Media Production,Not Specified,Not Specified,Not Specified
Watch Me Design a Pattern Collection: Creative Struggles,Not Specified,Professional Certificate,,0,5 Hours,Advanced,97,https://www.coursera.org/learn/watch-me-design-a-pattern-collection-creative-struggles,Design Strategies; Journals; Design Thinking; Creative Design; Design; Graphic and Visual Design; Design Elements And Principles; Creativity,Adobe Photoshop,Not Specified,Not Specified
Web Design: Strategy and Information Architecture,Not Specified,Professional Certificate,,256,2 Weeks,Advanced,105,https://www.coursera.org/learn/web-design-strategy,Not Specified,Not Specified,Not Specified,Not Specified
Web Design: Wireframes to Prototypes,Not Specified,Professional Certificate,,915,3 Weeks,Advanced,105,https://www.coursera.org/learn/web-design-wireframes-prototypes,Not Specified,Not Specified,Not Specified,Not Specified
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),Not Specified,Professional Certificate,,695,5 Weeks,Advanced,49,https://www.coursera.org/learn/western-christianity-200-1650,Cultural Diversity; Storytelling; European History; Music History; World History; Art History; Higher Education; Ancient History,Not Specified,Not Specified,Not Specified
Western Religions & Ecology,Not Specified,Professional Certificate,,8,2 Weeks,Advanced,52,https://www.coursera.org/learn/western-religions-ecology,Environmental Issue; Ethical Standards And Conduct; Culture; Intercultural Competence; Social Justice; Liberal Arts; Cultural Diversity; Sustainable Development; Environmental Science; Advocacy,Not Specified,Not Specified,Not Specified
What Does a Music Producer Do?,Not Specified,Professional Certificate,,7,8 Hours,Advanced,6,https://www.coursera.org/learn/what-does-a-music-producer-do,Musical Composition; Post-Production; Music Theory; Music; Instrumental Music; Media Production; System Configuration; Music Performance; Creativity,Not Specified,Not Specified,Not Specified
What is news?,Not Specified,Professional Certificate,,290,2 Weeks,Advanced,67,https://www.coursera.org/learn/what-is-news,Multimedia; Blogs; Journalism; Media and Communications; Driving engagement; Electronic Media; Ethical Standards And Conduct; Photography; Storytelling; Content Creation,Not Specified,Not Specified,Not Specified
When Disaster Meets Conflict,Not Specified,Professional Certificate,,30,9 Hours,Advanced,8,https://www.coursera.org/learn/whendisastermeetsconflict,Not Specified,Not Specified,Not Specified,Not Specified
A Voice of Their Own. Women's Spirituality in the Middle Ages.,Not Specified,Professional Certificate,,49,1 Weeks,Advanced,152,https://www.coursera.org/learn/womens-spirituality,Writing; Cultural Diversity; Music History; European History,Not Specified,Not Specified,Not Specified
Wonders of Ancient Egypt,Not Specified,Professional Certificate,,45,1 Weeks,Advanced,155,https://www.coursera.org/learn/wonders-ancient-egypt,World History; Ancient History; Art History; Anthropology; Research Methodologies,Not Specified,Not Specified,Not Specified
How to Change the World,Not Specified,Professional Certificate,,279,3 Weeks,Advanced,207,https://www.coursera.org/learn/world-change,Not Specified,Not Specified,Not Specified,Not Specified
