course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
Create High-Fidelity Designs and Prototypes in Figma,Not Specified,Professional Certificate,,801,2 Weeks,Advanced,0,https://www.coursera.org/learn/high-fidelity-designs-prototype,Not Specified,Not Specified,Not Specified,Not Specified
HTML and CSS in depth,Not Specified,Professional Certificate,,919,3 Weeks,Advanced,1,https://www.coursera.org/learn/html-and-css-in-depth,Not Specified,Not Specified,Not Specified,Not Specified
"Introduction to Containers w/ Docker, Kubernetes & OpenShift",Not Specified,Professional Certificate,,302,2 Weeks,Advanced,175,https://www.coursera.org/learn/ibm-containers-docker-kubernetes-openshift,DevOps; Containerization; CI/CD; Application Deployment; Microservices; Scalability; Cloud-Native Computing,OpenShift; Kubernetes; Docker (Software); YAML; Istio; Command-Line Interface,Not Specified,Not Specified
Image Editing,Not Specified,Professional Certificate,,213,2 Weeks,Advanced,313,https://www.coursera.org/learn/image-editing,Creativity; Photo Editing; Photography; Graphic Design; Image Quality; Editing; Creative Design; File Management; Storyboarding; Graphic and Visual Design,Adobe Photoshop; Generative AI,Not Specified,Not Specified
"Information Systems Auditing, Controls and Assurance",Not Specified,Professional Certificate,,47,9 Hours,Advanced,129,https://www.coursera.org/learn/information-systems-audit,Change Management; Continuous Monitoring; FinTech; Emerging Technologies; Risk Management,Not Specified,Not Specified,Not Specified
Introduction to Information Technology and AWS Cloud,Not Specified,Professional Certificate,,119,6 Hours,Advanced,260,https://www.coursera.org/learn/information-technology-and-aws,Project Management; Computer Hardware; IT Infrastructure; Servers; Data Centers; Data Analysis; General Networking; Public Cloud; Information Technology; Cloud Computing; Javascript; Network Security,Hypertext Markup Language (HTML); Amazon S3; Amazon Web Services; Operating Systems; Amazon Elastic Compute Cloud; Web Servers; Web Applications,Not Specified,Not Specified
Code Yourself! An Introduction to Programming,Not Specified,Professional Certificate,,120,1 Weeks,Advanced,684,https://www.coursera.org/learn/intro-programming,Software Engineering; Algorithms; Game Design; Debugging; Computer Programming; Computational Thinking; Programming Principles; Software Development; Software Design,Not Specified,Not Specified,Not Specified
Introduction to Self-Driving Cars,Not Specified,Professional Certificate,,679,4 Weeks,Advanced,180,https://www.coursera.org/learn/intro-self-driving-cars,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Data Engineering,Not Specified,Professional Certificate,,167,2 Weeks,Advanced,45,https://www.coursera.org/learn/intro-to-data-engineering,Data Warehousing; Security Controls; Performance Tuning; System Requirements; Requirements Analysis; Cloud Computing; Data Architecture; Database Design; Scalability; Data Pipelines; Data Processing,AWS Kinesis; Amazon Redshift; Amazon Web Services,Not Specified,Not Specified
Introduction to DevOps,Not Specified,Professional Certificate,,157,9 Hours,Advanced,355,https://www.coursera.org/learn/intro-to-devops,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Cybersecurity Tools & Cyberattacks,Not Specified,Professional Certificate,,597,1 Weeks,Advanced,1,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Enterprise Computing,Not Specified,Professional Certificate,,70,1 Weeks,Advanced,0,https://www.coursera.org/learn/introduction-enterprise-computing,Not Specified,Not Specified,Not Specified,Not Specified
